,Cercetare,Execb_venit,ConexTelFixa,Execb_subv,Export,Import,Innoptari,Lemn,PIB,PA_Veg,PA_Anim,Serv_Agric,Sup_Loc,SalNet,RataSom
ab,-0.3131200549943874,0.1540795887954351,0.07221670133113811,-0.3187099311708481,1.5728268874126596,0.30904521135448154,-0.1425168037089416,0.28107700808531794,0.3234858662224971,0.1392796389051699,1.1932174830367868,-0.09311127296798626,0.10176337043116065,-0.30128763853423524,-0.4529843058788314
ar,-0.219431669591234,0.4264950028148065,1.0256401558456012,-0.23653456944857804,1.8935200131979828,1.1703582128688947,-0.26872666283007746,0.5659882250951996,0.4392915587178375,1.3151316062274803,-0.05635077242484559,0.5280799289247444,1.0272012006769196,0.11632758568574228,-1.2574384643105825
ag,0.938275893625247,-0.06529146720852093,0.03453271354561707,-0.6474113780599298,2.7048840850230955,1.3546518942197765,-0.4413619252994933,0.08287790060018298,0.20949824479382717,-0.6979805188528905,-0.46471960796775175,-0.4561980261934589,0.5238929070344893,0.9142103311466749,-0.29209347419248105
bc,-0.3400465562936876,-1.4626241894698668,-0.25561542886211364,-0.9937020144601255,-0.6894484529045599,-0.49515558346348737,-0.5168140366016251,0.528825892441737,-0.6784697313348815,-1.0652810436890408,-0.43099086857168145,-0.4514611541095101,-0.9089121547056568,-0.12813010654058601,0.4721379763176822
bh,-0.3370371237955305,0.6109551490157231,1.1626390868097118,-0.25539994621128687,0.1507816466431962,0.08194084243272197,0.8728461052057355,-0.17725842797405678,-0.06454220903492164,-0.28096708677711474,0.21485107151424085,-0.24854677321105118,-0.036240516535312246,-0.644207456796168,-1.0161022167810572
bn,-0.2798579063305459,0.4720699429987608,-0.14256346550555052,1.0549669291655785,0.017644376667731623,-0.20608805852511491,-0.3559540864036374,1.0243236611545745,-0.3502560294905655,-0.4422652728650538,1.3139472148428288,-0.4660022498090739,-0.2148337820213366,-0.6713694225990934,-0.6943205534083567
bt,-0.3408121136835697,-1.1932195254071767,-1.196415675645466,0.029800161319077575,-0.7038596676237047,-0.6220251681179392,-0.7642688880804469,-0.6975310851225364,-0.9731676882979711,0.3159461500195133,1.1451999760684748,-0.3418521372832525,-1.050974979524084,-0.5796977880142202,-0.3323161821140688
br,-0.327639246871461,-0.09567476066449117,0.47931515065945146,1.2175420877383354,2.6253925222048435,1.7447838913865843,-0.36125687603580375,-0.8957301926076715,-0.43842753581356797,1.7776961998680039,0.9692565826109992,5.58386467992082,-1.4690455782754583,-0.8241554802405485,0.3514698525529196
bv,-0.18321288549060666,0.04831263230196133,1.1503871498942224,-1.4810945717649355,-0.8690694209620183,-0.7139176519001876,2.5347594382423435,-0.0038342089245635563,0.836989664141459,-1.1664253089264107,0.2886245997404885,-0.3470296486308244,0.5320107827383993,0.9074198396959435,-0.7747659692515317
bz,-0.3233362863697101,-0.6572370846457027,-0.6150055783831418,0.26467410201480407,-0.4504941833219102,-0.5279343140445281,-0.5814439514158879,-0.32590775858790805,-0.45692443275273537,0.4894689550076287,0.9720780964975467,-0.10622029106077492,0.23976725739763355,-0.6102549995425113,1.3570375505926084
cl,-0.26533871445347235,0.31785519330923273,-1.1021128884777582,2.115145616827578,-0.5870479733985582,-0.5951935439443963,-0.7974979701709012,-0.6232064198156106,-0.5220382198366217,2.4181000861829154,2.311468858255698,2.0207454344481524,-1.1646252393788268,-0.4574689419010561,0.4721379763176822
cs,-0.34677818161851265,-0.3257328298734594,0.23000679797001922,0.20940964538051535,-0.5397517618354246,-0.5479891438494455,0.8952529908083209,1.7551828700060104,-0.30548767627731166,-0.5742683529010706,0.5207135309954137,-0.4588418617751978,0.4833035285149379,-0.31147337571033223,-0.9356568009378821
cj,0.42883704845476134,1.0893885982388098,1.279589393730294,-0.583768474686909,-0.14827483966143096,0.25053706980373175,0.5176371820510628,-0.7470808619938202,1.333201201883273,-0.9163377855635054,-1.0587906510527985,-0.4218281636308535,1.4980379915037096,2.163660758081242,-1.1769930484674072
ct,-0.2630948393451973,0.42539182725816005,1.0185860103488036,-1.052961492055929,0.044627751202367755,0.24345444155162504,4.3813172926212145,-1.0443795232215227,1.2843001952806994,-0.3246043339904033,-1.3678629061480254,-0.2435895814952908,0.30065132517695925,0.08577037415745124,-0.6943205534083567
cv,-0.31620868308460126,0.06816979232159627,-0.34991821602982165,-0.38118762009676094,-0.44070438674427337,-0.41364631142834174,1.066137986111564,1.7551828700060104,-0.3834053605925038,0.4419631575094744,-0.08842284311688765,-0.4178624102582452,-0.287894663356528,-0.881874657571765,-0.050757226662955894
db,-0.2574455537784814,-1.1296949996036216,-1.0263736420910954,-0.6507405621945256,-0.47469123113829587,-0.4437724629803762,-0.5047267955283047,-0.4497822007661176,-0.2537409932225586,0.660401867383981,-0.6545376018214617,-0.45652850564117625,-0.015945827275537963,-0.2231969868508248,0.3514698525529196
dj,-0.24707093121904508,-0.9256534872722304,0.3651493748560256,-1.1730895529125902,-0.2867350638084609,-0.28358212531772387,-0.6630306624885651,-0.8585678599542086,-0.195937366885909,0.2718772540375977,-0.9062218175912181,0.1345890665092746,0.3250049522886907,0.06200365407989154,1.5581510902005462
gl,-0.2761621120345636,-1.2543078718564715,0.05513824381257709,-0.8928277351818759,-0.352457495731689,-0.2209709648351209,-0.7151574311603179,-1.0319920790037018,-0.5773592898933749,0.5180229282681343,-1.1731784479762328,-0.1579954045364946,-0.8723817140380611,-0.22998747830155614,1.678819213965309
gr,-0.34667258749577035,0.031052531405265038,-1.3005571394271276,2.1916613655210355,-0.8744518273395206,-0.6319965639427305,-0.7695543483347305,-0.6232064198156106,-0.24638883898601002,0.8784252171226393,0.24190136519719843,-0.2699177774967738,0.08146868117138492,-0.3895640273937427,-0.050757226662955894
gj,-0.33415968395080137,0.016389489631506358,-0.7176619589023195,0.7832500173803271,-0.9248276631701942,-0.7744757888877379,-0.5012522552627839,0.516438448223916,0.3212997345730363,-0.5734213439965947,-0.25864555245576637,-0.46490065165001604,-0.08088883290681798,0.12990856858720495,0.7939196396903825
hr,-0.34537905949217645,0.4477770979284428,-0.6532464723920943,0.21262785671062476,-0.6169207251417357,-0.4283172536606874,0.32863432217125094,3.080639401312851,-0.403006439280043,-0.7053918467670548,0.21689602194577534,-0.45950282067063253,-0.2067159063174266,-0.9973130122341978,-0.010534518741368487
hd,-0.25514888160883514,-0.20128083738928695,0.26416371300714175,0.0596518457259526,-0.2680472537422433,-0.39946591463286707,-0.3179334313285623,0.4792761155704532,-0.3154261354144089,-0.9701309953141156,-0.5703581232980381,-0.46225681606827723,-0.3366019175799895,-0.4914213991547128,0.029688189180219277
il,-0.3511603377123203,-1.3671765209958564,-0.993144904093025,-0.7279221477149024,-0.7254051470552972,-0.5758624200617761,-0.4738978322746316,-0.7594683062116412,-0.367231279993498,3.0680653999387366,0.950903799624189,1.2346449881444597,-0.6126096915129353,-0.7935982687122575,0.8341423476119703
is,-0.01162243603428181,-0.8947875545102284,-0.26192703272766893,-0.4888867268509315,-0.5861760077114813,-0.5200522784138168,-0.4227934968979696,-0.7718557504294621,-0.2754582144107059,-0.7064913294795956,-1.3444106898066286,-0.1876283950151512,-1.3148059399011647,0.707100341899369,-0.25187076627089366
if,5.9377880260461,3.197809898055149,5.276075620783114e-16,-0.9599107954939791,1.4258689612970248,4.368154270491145,-0.4060099944183842,-0.9452799694789552,1.8089223870462416,-0.9805149987103349,-2.2433087744328306,0.5278596092929327,4.745188273067779,1.8071599569178463,-1.6998882514480453
mm,-0.3492068464415868,-0.6595123842312866,-0.2613701265042376,-0.6151182919543516,0.023066417849191938,-0.2466852355135687,-0.30637473628067025,0.35540167339224366,-0.3281394584530818,-0.8610053000153379,0.3516297813905544,-0.4695273639180591,-0.12553714927832513,-0.5763025422888546,-0.6540978454867692
mh,7.502913685353986e-17,0.613575190962759,-0.0694231148282339,1.89453168150837,-0.7963712635421745,-0.702429198890999,-0.24575657244629803,-0.21442076062751964,-0.7506433650336372,0.35539721860875695,-0.14694984217637777,-0.37379848389593057,-0.09712458431463941,-0.31147337571033223,1.7994873377300713
b,1.1970870884667562,3.2807319273964044,3.820752491247522,-1.6843412631820025,1.027000148184856,2.4383121851416014,0.44273961084118363,-1.1558665211819112,4.760207524434211,-1.9339538297602126,-3.0613924888406654,0.5699406589689433,0.048997178355743486,4.190622456124547,-1.4987747118401078
ms,-0.2865103360633143,-0.38452289391307376,0.5366764916728801,-1.2103209288178187,-0.3711056709939486,-0.160573314934942,0.6332587912857488,-0.040996541578026416,-0.06708322683915352,-0.257853516864589,0.24389454473173208,-0.42469231884440395,-0.3568966068397652,0.21478971172134673,-0.3323161821140688
nt,-0.2658930835978697,-0.8935234991849039,-0.27009499067132864,0.32226898754330957,-0.6843434901547638,-0.5972283990899353,-0.2881355660589216,1.4702716529961288,-0.8338868118756513,-0.650898225806974,-0.3645429222710575,-0.14279334994149606,-0.3893681096554052,-0.6883456512259217,0.11013360502339445
ot,-0.34313518438390145,-0.31598811245641567,-0.60609507880824,0.6544105913714735,0.2772959408772719,-0.27463724124045885,-0.787732865733889,-0.8957301926076715,-0.6396702174161445,0.6146552422258923,-0.11024427620275686,-0.2040422075851134,0.036820364799879206,0.14009430576330198,1.1157013030630831
ph,-0.3156015168788327,-0.13090743000488547,0.6961373069820553,-0.35583033427159044,0.13127339613504718,0.43472476911578334,0.2899204919808601,-0.5241068660730431,0.6368906875713128,-1.0763084480800063,-1.1110274861266818,-0.41621001301965843,0.27223876021327353,0.428690192419384,-0.4529843058788314
sj,-0.33920180331174876,0.23582949410775325,-1.1050830550027253,-0.06508158651689955,-0.1286159768982413,-0.4257222077384748,-0.6116317276878938,-0.028609097360205463,-0.19689580652431665,0.18304719518068518,0.43754358496350687,-0.3977031639474863,-0.03218157868335796,-0.5117928735069068,0.029688189180219277
sm,-0.3373803046944432,0.10680391962831808,0.3447294799968764,0.35855709461040247,0.00967381759176898,-0.03927838552295632,-0.6537767746990982,-0.6479813082512526,-0.406958767685848,0.6558736274715905,-0.17381893771983187,-0.39252565259991434,0.3493585794004207,-0.34882107868935464,-0.6138751375651815
sb,0.8343712768467708,0.5879033764466333,1.6761066248134115,-0.5619623186053071,1.5404254351769588,0.7138027298798507,0.7697969596250911,-0.1277086511027731,0.5321309295684458,-1.0525026112743991,-0.4409049953473489,-0.32433672655423235,0.329063890140645,0.944767542674966,-0.7747659692515317
sv,-0.2884110302726766,-0.7555805889559101,-1.0698123275187401,-0.34501048583415417,-0.7042084538985354,-0.5572671143344624,0.010077033238904463,2.9072151822633576,-0.8085721484364704,-0.5989130542947643,1.228059296718376,-0.29018718362343854,-0.3731323582475852,-0.6476027025215336,-0.010534518741368487
tr,-0.3507379612213509,-0.8542918184516669,-1.2114521436781123,0.4149312792895567,-0.841257679024659,-0.6639213820966254,-0.8972718633316783,-0.9700548579145971,-0.731136977547487,0.948564069866357,0.24855392546181077,0.22458963610430227,-0.4177806746190909,-0.8105744973390858,2.3626052486322973
tm,0.6783823590256288,1.4601704993924849,1.603337544951716,0.6600702044002861,2.369835233244169,1.3548123813071478,0.11035347835828561,-0.6603687524690736,1.5023921469182733,0.22736042065427672,0.7397561962061178,0.002617607054142275,1.4209181723165638,1.946365031657839,-1.6194428356048705
tl,-0.18735745480824406,0.21909799816528233,-0.8580023272070186,-0.44494149627426827,-0.5983082212030385,-0.48280413385239596,-0.19307526368229233,-0.11532120688495213,-0.36112987301703664,1.4022595029590514,1.1382367904218569,0.19925287844597137,-0.4989594316581924,-0.4812356619786158,-0.13120264250613106
vl,-0.029151060409512534,0.9134320969537089,-0.3725657357826963,2.2896503518826354,-0.8123876878216201,-0.7079614613179329,1.7618518552872724,0.5040510040060951,-0.22808791166363024,-0.5580611632865793,0.23636187921810448,-0.40717690811538393,0.0855276190233392,-0.6272312281693396,-0.17142535042771848
vs,-0.291526056893576,-1.1820498728961326,-0.9003272001878009,-0.5542497086934938,-0.6201826695074827,-0.6061096939439022,-0.8165169623973801,-0.6603687524690736,-1.1429679506288664,-0.41856531217250625,0.19178713690035118,-0.345707730839955,-1.8018784821357756,-0.4337022218234964,2.5234960803186475
vn,-0.3498932082394121,0.02576648186300061,-0.476335928748737,1.9478541140641443,-0.7189724183729067,-0.5995145830704143,-0.81011375726965,0.6898626672734092,-0.6861701845121916,0.13060594195068082,0.8717978690068509,-0.32620944342463076,0.26412088450936355,-0.7868077772615262,0.11013360502339445
