,NrSal,RS,SalN,SupL,Apa,Gaz,Pensia,Paturi,RataAb,AbsUniv,Volume,Cinema,PIB,Cerc,ProdVeg,ProdAn,Telefonie,Internet,Cazare,ExecB,RataC
NrSal,1.0243902439024388,-0.5266004778817553,0.6927620150570214,0.5762698402918933,0.7663764259492474,0.6052676772731638,0.7767174869634182,0.7135067906701812,-0.04610105857293868,0.7811142066764946,-0.4166455875140573,0.4057167928872973,0.9798920499564714,0.7049339516791836,-0.5511961720382978,-0.552389625243392,0.8047247410902937,0.5817544131848663,0.39045404444145065,0.8904728449506565,-0.1307137690302957
RS,-0.5266004778817553,1.0243902439024395,-0.30159733934784494,-0.41404963427080116,-0.27096984413256164,-0.3422057598243916,-0.18175160808174798,-0.13585952675752055,-0.18721184968122737,-0.37101660693062744,0.35885596282403887,-0.3513383540855976,-0.5430162983343466,-0.3855002559287016,0.21096095916026925,0.24563960328792225,-0.449681408357392,-0.2995221779263299,-0.333344330655118,-0.4853243618680521,0.04178340213359503
SalN,0.6927620150570214,-0.30159733934784494,1.0243902439024388,0.3609777212796281,0.5528891650150829,0.34679889032534955,0.549233321450415,0.3706540139149758,-0.13704063062017974,0.6720590340790252,-0.6979726194151596,0.3495183200289395,0.8055023593119641,0.7872025330403762,-0.6474022105436589,-0.5838835316674856,0.506433718473219,0.04499121289316227,0.1066386153145408,0.760176095006741,-0.3826974536587094
SupL,0.5762698402918933,-0.41404963427080116,0.3609777212796281,1.0243902439024395,0.164655026333641,0.4257237672250177,0.17925507871160115,0.17455948661774534,-0.0037404926741358008,0.15725109716926905,-0.21143823827475156,-0.10857724227855058,0.613247376573107,0.3684104939933638,-0.2446967906221387,-0.17115104353256314,0.2090574134229362,0.2321275605630011,0.10776970308253711,0.6205167111018453,-0.26970591191509785
Apa,0.7663764259492474,-0.27096984413256164,0.5528891650150829,0.164655026333641,1.024390243902439,0.45793379895902203,0.7048345709154691,0.6577228268620219,0.09612748489024668,0.829094332497696,-0.1514467653146298,0.5224491191008312,0.718490577815965,0.5156760037209688,-0.47901136214765927,-0.4585129934407127,0.799837118335869,0.406251664775854,0.44449825424295847,0.611247333726164,-0.10741766338950798
Gaz,0.6052676772731638,-0.3422057598243916,0.34679889032534955,0.4257237672250177,0.45793379895902203,1.024390243902439,0.5605824431869177,0.4793674473032724,-0.027752893200166457,0.4148400683763244,-0.1866324602582134,0.02109652068903841,0.5984083090257686,0.4505856803465786,-0.5226902538900872,-0.155389106529402,0.42167757705646053,0.2131830293656253,0.17580720576984057,0.46678155010955313,-0.010155698970303512
Pensia,0.7767174869634182,-0.18175160808174798,0.549233321450415,0.17925507871160115,0.7048345709154691,0.5605824431869177,1.0243902439024393,0.6920607400220287,-0.12629098739045533,0.7467259656666615,-0.3477080082071476,0.32039275314751703,0.7158454463834034,0.5294682833290895,-0.6713288563969101,-0.6090466097108,0.7234234893679813,0.44661060541354936,0.3889743895819,0.5226775740175295,0.05153664766548351
Paturi,0.7135067906701812,-0.13585952675752055,0.3706540139149758,0.17455948661774534,0.6577228268620219,0.4793674473032724,0.6920607400220287,1.0243902439024393,-0.217191158254204,0.7174289627202752,-0.03900199930538306,0.30933665604400695,0.6443024162656384,0.49319851720800306,-0.46457364231449183,-0.3583567306520424,0.6979965238126403,0.5060313238482587,0.20323306804132626,0.5368872553810451,-0.03737573247399585
RataAb,-0.04610105857293868,-0.18721184968122737,-0.13704063062017974,-0.0037404926741358008,0.09612748489024668,-0.027752893200166457,-0.12629098739045533,-0.217191158254204,1.0243902439024388,0.028410410507862704,-0.010986828395689,0.21225151198198478,-0.0947546414430787,-0.12005131592068896,0.2922287397740657,0.06679627042822506,0.05435881771002245,0.06829266407260151,0.27189821099122974,-0.01000731528249198,0.05184511544710477
AbsUniv,0.7811142066764946,-0.37101660693062744,0.6720590340790252,0.15725109716926905,0.829094332497696,0.4148400683763244,0.7467259656666615,0.7174289627202752,0.028410410507862704,1.024390243902439,-0.4116939437441732,0.47478163942506474,0.7729842815378272,0.7096052325684513,-0.5150849358056476,-0.6187921051695425,0.8922129062144984,0.4707124704927962,0.2843649574125532,0.6529687427918394,-0.09764794777583358
Volume,-0.4166455875140573,0.35885596282403887,-0.6979726194151596,-0.21143823827475156,-0.1514467653146298,-0.1866324602582134,-0.3477080082071476,-0.03900199930538306,-0.010986828395689,-0.4116939437441732,1.0243902439024388,-0.22572147560523795,-0.5077171342876066,-0.669138907681917,0.4654392481496314,0.5177595197845954,-0.24085497867478567,0.1395300490320069,-0.050044443414343893,-0.47506388367904645,0.23463817693560174
Cinema,0.4057167928872973,-0.3513383540855976,0.3495183200289395,-0.10857724227855058,0.5224491191008312,0.02109652068903841,0.32039275314751703,0.30933665604400695,0.21225151198198478,0.47478163942506474,-0.22572147560523795,1.0243902439024388,0.40287567228822413,0.27672233968546295,-0.10762689864659943,-0.4279282873794323,0.4029247546559413,0.11463256464618787,0.6943327483858615,0.28318217758485165,-0.018146432151189145
PIB,0.9798920499564714,-0.5430162983343466,0.8055023593119641,0.613247376573107,0.718490577815965,0.5984083090257686,0.7158454463834034,0.6443024162656384,-0.0947546414430787,0.7729842815378272,-0.5077171342876066,0.40287567228822413,1.024390243902439,0.7759170944184473,-0.6086666437289786,-0.5311154469139013,0.7482211492516542,0.4489696465715074,0.3611640748713217,0.9149518366247182,-0.2519539768825454
Cerc,0.7049339516791836,-0.3855002559287016,0.7872025330403762,0.3684104939933638,0.5156760037209688,0.4505856803465786,0.5294682833290895,0.49319851720800306,-0.12005131592068896,0.7096052325684513,-0.669138907681917,0.27672233968546295,0.7759170944184473,1.0243902439024388,-0.5744357223391636,-0.5654758937883745,0.4715859246740187,0.050717198243260035,0.07134381470407383,0.7195711129893186,-0.3043527035427743
ProdVeg,-0.5511961720382978,0.21096095916026925,-0.6474022105436589,-0.2446967906221387,-0.47901136214765927,-0.5226902538900872,-0.6713288563969101,-0.46457364231449183,0.2922287397740657,-0.5150849358056476,0.4654392481496314,-0.10762689864659943,-0.6086666437289786,-0.5744357223391636,1.024390243902439,0.5787269895164442,-0.4782343859307774,-0.0665972362261097,-0.19481521397943716,-0.5402458803757914,0.12584549988575353
ProdAn,-0.552389625243392,0.24563960328792225,-0.5838835316674856,-0.17115104353256314,-0.4585129934407127,-0.155389106529402,-0.6090466097108,-0.3583567306520424,0.06679627042822506,-0.6187921051695425,0.5177595197845954,-0.4279282873794323,-0.5311154469139013,-0.5654758937883745,0.5787269895164442,1.0243902439024388,-0.5739457808882132,-0.20656123842582202,-0.2964571916178094,-0.5358748907877116,-0.004821242215068602
Telefonie,0.8047247410902937,-0.449681408357392,0.506433718473219,0.2090574134229362,0.799837118335869,0.42167757705646053,0.7234234893679813,0.6979965238126403,0.05435881771002245,0.8922129062144984,-0.24085497867478567,0.4029247546559413,0.7482211492516542,0.4715859246740187,-0.4782343859307774,-0.5739457808882132,1.0243902439024393,0.7137825390497177,0.27925913010708564,0.6737476262323111,0.0814622672854807
Internet,0.5817544131848663,-0.2995221779263299,0.04499121289316227,0.2321275605630011,0.406251664775854,0.2131830293656253,0.44661060541354936,0.5060313238482587,0.06829266407260151,0.4707124704927962,0.1395300490320069,0.11463256464618787,0.4489696465715074,0.050717198243260035,-0.0665972362261097,-0.20656123842582202,0.7137825390497177,1.024390243902439,0.2576994667751429,0.4255874533902655,0.04866143857399899
Cazare,0.39045404444145065,-0.333344330655118,0.1066386153145408,0.10776970308253711,0.44449825424295847,0.17580720576984057,0.3889743895819,0.20323306804132626,0.27189821099122974,0.2843649574125532,-0.050044443414343893,0.6943327483858615,0.3611640748713217,0.07134381470407383,-0.19481521397943716,-0.2964571916178094,0.27925913010708564,0.2576994667751429,1.0243902439024395,0.22328572242977382,-0.1646056971683254
ExecB,0.8904728449506565,-0.4853243618680521,0.760176095006741,0.6205167111018453,0.611247333726164,0.46678155010955313,0.5226775740175295,0.5368872553810451,-0.01000731528249198,0.6529687427918394,-0.47506388367904645,0.28318217758485165,0.9149518366247182,0.7195711129893186,-0.5402458803757914,-0.5358748907877116,0.6737476262323111,0.4255874533902655,0.22328572242977382,1.024390243902439,-0.27160445492833923
RataC,-0.1307137690302957,0.04178340213359503,-0.3826974536587094,-0.26970591191509785,-0.10741766338950798,-0.010155698970303512,0.05153664766548351,-0.03737573247399585,0.05184511544710477,-0.09764794777583358,0.23463817693560174,-0.018146432151189145,-0.2519539768825454,-0.3043527035427743,0.12584549988575353,-0.004821242215068602,0.0814622672854807,0.04866143857399899,-0.1646056971683254,-0.27160445492833923,1.0243902439024388
